ID,出現箇所,固有表現,単語列,主語（ガ格）,対象（ヲ格）,方向（ニ格）,食材デ,道具デ,食材equal,食材part-of,食材set,道具equal,道具part-of,動詞equal,動作のタイミング,その他の修飾語句,備考
ID,char-position,NEtype,wordseq.,subj.,d-obj.,i-obj.,F-by,T-by,F-equal,F-part-of,F-set,T-equal,T-part-of,V-equal,V-timing,othermod.,remark
1,001-01-001,T,鍋,,,,,,,,,,,,,,
2,001-01-004,F,水,,,,,,,,,,,,,3,
3,001-01-006,Q,三カップくらい,,,,,,,,,,,,,,
4,001-01-013,Ac,い,,2,1,,,,,,,,,,,
5,001-01-016,F,だしの素,,,,,,,,,,,,,,
6,001-01-021,F,昆布,,,,,,,,,,,,,,
7,001-01-024,Ac,いれ,,"5,6",4,,,,,,,,,,,
8,001-01-027,Ac,ひとにたちさせ,,7,,,,,,,,,,,,
9,002-01-001,Sf,五センチの大きさ,,,,,,,,,,,,,,
10,002-01-010,Ac,き,,11,9,,,,,,,,,,,
11,002-01-013,F,白菜,,,,,,,,,,,,,,
12,002-01-025,T,鍋,,,,,,,,,,8,,,,
13,002-01-027,Ac,いれ,,10,12,,,,,,,,,,,
14,002-02-001,F,とりにく,,,,,,,,,,,,,,
15,002-02-006,Sf,一口大,,,,,,,,,,,,,,
16,002-02-010,Ac,切,,14,15,,,,,,,,,,,
17,002-02-013,F,片栗粉,,,,,,,,,,,,,,
18,002-02-017,Ac,まぶ,,17,16,,,,,,,,,,,
19,002-02-021,F,余計,,,,,,,,,,,,,,
20,002-02-024,F,粉,,,,,,17,18,,,,,,19,
21,002-02-026,Ac,はた,,20,18,,,,,,,,,,,
22,002-02-030,T,鍋,,,,,,,,,,13,,,,
23,002-02-032,Ac,いれ,,21,22,,,,,,,,,,,
24,003-01-001,F,白菜,,,,,,11,23,,,,,,,
25,003-01-004,Sf,しなしな,,,,,,,,,,,,,,
26,003-01-009,Af,な,24,,25,,,,,,,,,,,
27,003-01-014,F,豆腐,,,,,,,,,,,,,,
28,003-01-017,F,えのき,,,,,,,,,,,,,,
29,003-01-021,Ac,いれ,,"27,28",26,,,,,,,,,26,,
30,003-01-025,F,しょうゆ,,,,,,,,,,,,,,
31,003-01-030,F,塩こしょう,,,,,,,,,,,,,,
ID,char-position,NEtype,wordseq.,subj.,d-obj.,i-obj.,F-by,T-by,F-equal,F-part-of,F-set,T-equal,T-part-of,V-equal,V-timing,othermod.,remark
32,003-01-036,Ac,味つけ,,29,,"30,31",,,,,,,,,,
33,003-02-001,F,鶏がらスープ,,,,,,,,,,,,,,!!!単語変更:鶏がらスープのもと->鶏がらスープ
34,003-02-008,F,もと,,,,,,,,,,,,,33,!!!行が見つかりません
35,003-02-017,Ac,入れ,,34,32,,,,,,,,,,,
36,003-02-021,Sf,うまみ,,,,,,,35,,,,,,,
37,003-02-025,Af,ま,36,,,,,,,,,,,,,
38,004-01-001,F,水,,,,,,,,,,,,,,
39,004-01-003,Ac,と,,40,,38,,,,,,,,,,
40,004-01-006,F,片栗粉,,,,,,,,,,,,,,
41,004-01-013,Sf,とろみ,,,,,,,,,,,,,,
42,004-01-017,Af,つ,,41,37,,,,,,,,,,,
43,004-01-022,Ac,いれ,,39,37,,,,,,,,,42,,
44,004-01-025,Af,できあがり,43,,,,,,,,,,,,,
45,004-01-034,Sf,とろみ,,,,,,,44,,,,,,,!!!行が見つかりません
46,004-01-038,Sf,ゆるめ,,,,,,,,,,,,,,!!!行が見つかりません
47,004-01-042,Ac,し,,45,,,,,,,,,,,46,!!!行が見つかりません
48,004-01-044,F,うどん,,,,,,,,,,,,,,!!!行が見つかりません
49,004-01-048,Ac,いれ,,48,47,,,,,,,,,,,!!!行が見つかりません
50,004-01-052,Sf,かため,,,,,,,,,,,,,,!!!行が見つかりません
51,004-01-056,Ac,し,,45,,,,,,,,,,,50,!!!行が見つかりません
52,004-01-058,F,ごはん,,,,,,,,,,,,,,!!!行が見つかりません
53,004-01-062,Ac,かけ,,52,51,,,,,,,,,,49,!!!行が見つかりません
54,004-01-068,Af,おいし,53,,,,,,,,,,,,,!!!行が見つかりません
